Date,Mkt-RF,SMB,HML,RMW,CMA,RF,WML
4/19/2012,-0.48,-0.07,-0.17,0.01,0.12,0,0.08
4/20/2012,0.42,0.17,0.07,0.25,0.4,0,0.3
4/23/2012,-1.33,0.2,0.09,0.08,-0.01,0,0.45
4/24/2012,0.44,-0.23,0.51,-0.32,0.23,0,-0.41
4/25/2012,1.25,-0.1,-0.53,0.07,-0.41,0,-0.1
4/26/2012,0.59,-0.05,-0.05,-0.01,-0.09,0,0.3
4/27/2012,0.43,0.2,-0.22,-0.13,-0.07,0,-0.2
4/30/2012,-0.25,0.1,0.1,0.23,-0.06,0,-0.05
5/1/2012,0.14,-0.58,0.11,0.09,0.02,0,-0.14
5/2/2012,-0.28,0.61,-0.38,0.19,0.1,0,0.94
5/3/2012,-0.62,-0.18,0.02,0.31,0.2,0,0.68
5/4/2012,-1.48,0.27,0.45,-0.03,0.29,0,0.04
5/7/2012,-0.31,-0.57,0.27,-0.19,0.13,0,0.07
5/8/2012,-0.82,0.36,0.43,0.22,0.34,0,0.29
5/9/2012,-0.77,-0.3,-0.21,0.26,-0.1,0,0.43
5/10/2012,0.33,0.06,0.37,-0.26,0.24,0,-0.24
5/11/2012,-0.28,-0.29,-0.6,0.38,0.02,0,0.58
5/14/2012,-1.44,-0.1,0.06,0.24,0.24,0,0.67
5/15/2012,-0.95,-0.11,-0.14,0.27,0.08,0,1.06
5/16/2012,-0.74,-0.43,-0.14,0.3,0.15,0,0.51
5/17/2012,-0.97,0.61,0.27,0.01,0.04,0,-0.12
5/18/2012,-1.02,-0.16,0.29,0.18,0.16,0,0
5/21/2012,1.19,-0.15,-0.68,0.11,-0.46,0,-0.15
5/22/2012,0.38,-0.46,0.21,-0.28,0.03,0,-0.14
5/23/2012,-0.91,0.41,-0.14,-0.06,-0.04,0,0.33
5/24/2012,0.2,-0.21,0.15,0.04,0.32,0,0.37
5/25/2012,-0.08,0.07,-0.09,0.13,0.01,0,-0.09
5/28/2012,0.16,-0.02,-0.23,0.09,-0.08,0,-0.06
5/29/2012,0.88,0.03,-0.22,0.01,-0.11,0,-0.02
5/30/2012,-1.63,0.38,0,0.25,0.12,0,0.91
5/31/2012,-0.18,0.38,0.29,-0.02,0.22,0,0.42
6/1/2012,-1.98,0.14,0.3,0.01,-0.02,0,-0.37
6/4/2012,-0.37,-0.47,-0.15,0.11,-0.2,0,-0.04
6/5/2012,0.62,0.09,0.02,-0.51,-0.06,0,-0.59
6/6/2012,2.37,-0.48,0.11,-0.26,-0.22,0,-0.9
6/7/2012,0.37,-0.12,-0.03,0.17,0.19,0,0.24
6/8/2012,0,-0.11,-0.01,0.07,0.17,0,0.49
6/11/2012,-0.6,-0.03,0.01,0.23,0.1,0,0.49
6/12/2012,0.73,-0.32,-0.11,-0.22,0.25,0,0.09
6/13/2012,-0.37,-0.22,0.19,0.08,0.07,0,0.22
6/14/2012,0.62,-0.16,0.33,-0.09,0.27,0,-0.01
6/15/2012,1.11,-0.12,0.13,-0.16,-0.27,0,-1
6/18/2012,0.16,0.23,-0.63,0.17,-0.17,0,0.37
6/19/2012,1.31,-0.28,0.04,-0.08,-0.1,0,-0.83
6/20/2012,0.25,0.07,0.18,-0.06,0.02,0,-0.36
6/21/2012,-1.95,0.42,0.31,0.07,0.49,0,0.95
6/22/2012,0.14,0.17,0.13,-0.15,0.15,0,-0.03
6/25/2012,-1.45,0.57,0.01,0.22,0.19,0,1.36
